Downloaded from FDA GRAS Notices; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=GRASNotices; Last updated 7/31/2026; downloaded 8/2/2026.

GRAS Notice (GRN) No.,Substance,Intended Use,Basis,Notifier,Notifier Address,Date of filing,GRN Part 1,GRN Part 2,GRN Part 3,GRN Part 4,GRN Part 5,GRN Part 6,GRN Part 7,Date of closure,Date of correction letter,FDA's Letter,Date additional correspondence,Additional correspondence,Date additinoal correspondence 2,Additional correspondence 2,Date additional correspondence 3,Additional correspondence 3,Date additional correspondence 4,Additional correspondence 4,Resubmission,Resubmitted,Notes,Related submission
=T("1")," Soy isoflavone extract"," Ingredient in performance bars, mature adult meal replacements, and beverages at a level of 25 milligrams per serving"," Scientific procedures"," Archer Daniels Midland Company"," Box 1470; Decatur, IL 62525",02/10/1998," GRN 1 (in PDF)",,,,,,,11/03/1998,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,,,
=T("2")," Solin oil (low linolenic acid flaxseed oil or low linolenic acid linseed oil)"," Use as a general purpose cooking, frying, and salad oil; and as an ingredient in margarines, shortenings, and other food products"," Scientific procedures"," United Grain Growers Ltd."," TD Centre; 201 Portage Avenue; Box 6600; Winnipeg, Manitoba; CANADA R3C 3A7",02/11/1998," GRN 2 (in PDF)",,,,,,,05/27/1998,," FDA has no questions",,,,,,,,,,," Incorporates GRAS Affirmation Petition"," GRP 5G0416"
=T("3")," Sodium bisulfate"," Use in cake mixes as a pH control agent and a leavening agent at a level of 0.1 to 1.0 percent by weight; use in foods in general as a pH control agent and processing aid at levels not to exceed good manufacturing practices"," Scientific procedures"," Jones Hamilton Co."," 30354 Tracy Road; Walbridge, OH 43465",02/26/1998," GRN 3 (in PDF)",,,,,,,06/05/1998,," FDA has no questions",,,,,,,,,,,,
=T("4")," Transglutaminase from <i>Streptoverticillium mobaraense</i>"," Use in processed seafood as a crosslinking agent at levels not to exceed 65 parts per million"," Scientific procedures"," Ajinomoto USA"," 1120 Connecticut Ave., NW; Suite 416; Washington, DC 20036",03/04/1998," GRN 4 (in PDF)",,,,,,,06/22/1998,," FDA has no questions",,,,,,,,,,,,
=T("5")," Tasteless smoke"," Use in red-meat seafoods such as tuna and salmon to preserve the taste, aroma, and color"," Common use in food"," Hawaii International Seafood Inc."," Honolulu International Airport; P.O. Box 30486; Honolulu, HI 96820",04/29/1998," GRN 5 (in PDF)",,,,,,,11/09/1998,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("15"),,
=T("6")," Dioctyl sodium sulfosuccinate"," Use in carbonated and non-carbonated soft drinks as a wetting agent or solubilizer for flavor emulsion stabilizers at levels up to 10 parts per million of the finished beverage"," Scientific procedures"," Cytec Industries, Inc."," Five Garret Mountain Plaza; West Paterson, NJ 07424",07/21/1998," GRN 6 (in PDF)",,,,,,,12/28/1998,," FDA has no questions",,,,,,,,,,,,
=T("7")," ARASCO (arachidonic acid-rich single-cell oil) and DHASCO (docosahexaenoic acid-rich single-cell oil) as sources of the fatty acids ARA (arachidonic acid) and DHA (docosahexaenoic acid)"," ARASCO as a source of ARA and DHASCO as a source of DHA in infant formula"," Scientific procedures"," Wyeth Nutritionals International"," 145 King of Prussia Road; Radnor, PA 19087",09/01/1998," GRN 7 (in PDF)",,,,,,,03/04/1999,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,=T("41"),,
=T("8")," Pectin esterase derived from <i>Aspergillus oryzae</i> carrying a gene encoding pectin esterase from <i>Aspergillus aculeatus</i>"," Use in fruit and vegetable products as a processing aid at minimal level needed to accomplish the intended technical effect"," Scientific procedures"," Novo Nordisk"," 77 Perry Chapel Church Road; Box 576; Franklinton, NC 27525-0576",10/14/1998," GRN 8 (in PDF)",,,,,,,03/02/1999,," FDA has no questions",,,,,,,,,,,,
=T("9")," Polyglycerol polyricinoleic acid"," Use in chocolate as an emulsifier at a level up to 0.3 percent"," Scientific procedures"," Quest International"," 5115 Sedge Blvd.; Hoffman Estates, IL 60192",10/22/1998," GRN 9 (in PDF)",,,,,,,03/02/1999,04/02/1999," FDA has no questions",,,,,,,,,,,,
=T("10")," Exopeptidase derived from <i>Aspergillus oryzae</i> carrying a gene encoding a leucine aminopeptidase from <i>Aspergillus sojae</i>"," Use as a food processing aid at a level ranging from 0.2 to 0.8 percent"," Scientific procedures"," Rohm Enzyme Finland Oy"," Tykkimaentie 15; 05200 Rajamaki; FINLAND",10/28/1998," GRN 10 (in PDF)",,,,,,,01/29/1999,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,,,
=T("11")," Calcium casein peptone-calcium phosphate"," Use in chewing gum as a texturizer at a use level of up to 5 percent wt/wt"," Scientific procedures"," Bonlac Foods Limited"," P.O. Box 4313 Melbourne; Victoria, AUSTRALIA 3001",11/23/1998," GRN 11 (in PDF)",,,,,,,01/29/1999,," FDA has no questions",,,,,,,,,,,,
=T("12")," Mesquite wood alcoholic extract"," Use in several food categories, including alcoholic beverages, as a flavor"," Common use in food"," Givaudan Roure Flavors"," 1199 Edison Drive; Cincinnati, OH 45216",12/30/1998," GRN 12 (in PDF)",,,,,,,03/11/1999,," At the notifier's request, FDA ceased to evaluate this notice",,,,,,,,,,=T("18"),,
=T("13")," Botanicals: Chrysanthemum; Licorice; Jellywort AND<br /> Honeysuckle; Lophatherum; Mulberry leaf; Frangipani; Selfheal; Sophora flower bud"," Use in herbal tea as a flavor"," Common use in food"," Vitasoy International Holdings Ltd."," 1, Kin Wong Street; Tuen Mun, New Territories; HONG KONG",01/11/1999," GRN 13 (in PDF)",,,,,,,06/02/1999,," Notice does not provide a basis AND<br />FDA has no questions",,,,,,,,,,," Notice only provided basis for subset of notified ingredients",
=T("14")," Hydrogen peroxide"," Use in the manufacture of dehydrated onions as a processing aid to extend their shelf life"," Scientific procedures"," Basic Vegetable Products"," 700 Airport Drive; King City, CA 93930",02/17/1999," GRN 14 (in PDF)",,,,,,,05/26/1999,," Notice does not provide a basis for a GRAS determination",,,,,,,,,,,,
=T("15")," Tasteless smoke"," Use in raw tuna, before it is frozen, to preserve its taste, aroma, texture and color at levels sufficient to accomplish this purpose"," Scientific procedures"," Hawaii International Seafood Inc."," Honolulu International Airport; P.O. Box 30486; Honolulu, HI 96820",03/17/1999," GRN 15 (in PDF)",,,,,,,03/10/2000,," FDA has no questions",,,,,,,,,=T("5"),,,
