Downloaded from FDA Inventory of Food Contact Substances Listed in 21 CFR; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=IndirectAdditives; Last updated 5/4/2026; downloaded 8/2/2026.

"Consult the regulation(s) cited to see if your substance is authorized for your intended use."

CAS Registry No. (or other ID),Substance,Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg01,Reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17,reg18,reg19,reg20,reg21,Reg prohibited189,regs Labeling-Standards,Other Names,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10,SYN11,SYN12,SYN13,SYN14,SYN15,SYN16,SYN17,SYN18,SYN19
" 514-10-3"," ABIETIC ACID",,,,,,,=T("175.105"),,,,,,,,,,,,,,,,,,,,,,," ABIETIC ACID"," ABIETIC ACID, L-"," 7,13-ABIETADIEN-18-OIC ACID"," 1,2,3,4,4A,4B,5,6,10,10A-DECAHYDRO-1,4A-DIMETHYL-7-(1-METHYLETHYL)-1-PHENANTHRENECARBOXYLIC ACID, (1R,4AR,4BR,10AR)-"," 1-PHENANTHRENECARBOXYLIC ACID, 1,2,3,4,4A,4B,5,6,10,10A-DECAHYDRO-1,4A-DIMETHYL-7-(1-METHYLETHYL)-, (1R,4AR,4BR,10AR)-"," PODOCARPA-7,13-DIEN-15-OIC ACID, 13-ISOPROPYL-"," 13-ISOPROPYLPODOCARPA-7,13-DIEN-15-OIC ACID"," SYLVIC ACID"," ABIETIC ACID, (-)-",,,,,,,,,,,
" 75-07-0"," ACETALDEHYDE",,,,,,,=T("177.2410"),=T("182.60"),,,,,,,,,,,,,,,,,,,,,," ACETALDEHYDE"," ACETIC ALDEHYDE"," ETHANAL"," ACETIC ETHANOL"," ETHYL ALDEHYDE",,,,,,,,,,,,,,,
" 142-26-7"," 2-ACETAMIDOETHANOL",,,,,,,=T("175.105"),,,,,,,,,,,,,,,,,,,,,,," 2-ACETAMIDOETHANOL"," N-(2-HYDROXYETHYL)ACETAMIDE"," N-ACETYLETHANOLAMINE"," ACETYLETHANOLAMINE"," ACETAMIDE, N-(2-HYDROXYETHYL)-",,,,,,,,,,,,,,,
" 67-64-1"," ACETONE",=T("73.1"),=T("73.30"),=T("73.345"),=T("73.615"),,,=T("173.210"),=T("175.105"),=T("175.320"),=T("176.180"),=T("176.300"),=T("177.2600"),,,,,,,,,,,,,,,,,," ACETONE"," DIMETHYL KETONE"," BETA-KETOPROPANE"," PYROACETIC ETHER"," 2-OXOPROPANE"," 2-PROPANONE"," METHYL KETONE"," DIMETHYLFORMALDEHYDE",,,,,,,,,,,,
" 977110-24-9"," ACETOXYHYDROXYSTEARIC ACID",,,,,,,=T("178.3400"),,,,,,,,,,,,,,,,,,,,,,," ACETOXYHYDROXYSTEARIC ACID"," (ACETYLOXY)HYDROXYOCTADECANOIC ACID",,,,,,,,,,,,,,,,,,
" 101229-03-2"," N-ACETYL-N-(2-HYDROXYETHYL)-N'-OLEOYLETHYLENEDIAMINE",,,,,,,=T("177.2800"),,,,,,,,,,,,,,,,,,,,,,," N-ACETYL-N-(2-HYDROXYETHYL)-N'-OLEOYLETHYLENEDIAMINE"," N-OLEYL-N'-ACETYL-N'-(BETA-HYDROXYETHYL)ETHYLENEDIAMINE"," OLEAMIDE, N-(2-(N-(2-HYDROXYETHYL)ACETAMIDO)ETHYL)-"," N-(2-(N-(2-HYDROXYETHYL)ACETAMIDO)ETHYL)OLEAMIDE",,,,,,,,,,,,,,,,
" 77-89-4"," ACETYL TRIETHYL CITRATE",,,,,,,=T("175.105"),=T("175.300"),=T("175.320"),=T("178.3910"),=T("181.27"),,,,,,,,,,,,,,,,,,," ACETYL TRIETHYL CITRATE"," CITRIC ACID, TRIETHYL ESTER, ACETATE"," TRIETHYL 2-(ACETYLOXY)-1,2,3-PROPANETRICARBOXYLATE"," TRIETHYL CITRATE ACETATE"," TRIETHYL 2-ACETOXY-1,2,3-PROPANETRICARBOXYLATE"," TRIETHYL ACETYLCITRATE"," 1,2,3-PROPANETRICARBOXYLIC ACID, 2-(ACETYLOXY)-, TRIETHYL ESTER",,,,,,,,,,,,,
" 203742-97-6"," ACID-CATALYZED CONDENSATION REACTION PRODUCTS OF BRANCHED 4-NONYLPHENOL, FORMALDEHYDE AND 1-DODECANETHIOL",,,,,,,=T("178.2010"),,,,,,,,,,,,,,,,,,,,,,," 1-DODECANETHIOL-FORMALDEHYDE-BRANCHED 4-NONYLPHENOL REACTION PRODUCT"," FORMALDEHYDE, REACTION PRODUCTS WITH BRANCHED 4-NONYLPHENOL AND 1-DODECANETHIOL"," 4-NONYLPHENOL, BRANCHED-FORMALDEHYDE-1-DODECANETHIOL REACTION PRODUCT",,,,,,,,,,,,,,,,,
" 107-02-8"," ACROLEIN",,,,,,,=T("172.892"),=T("176.300"),,,,,,,,,,,,,,,,,,,,,," ACROLEIN"," ACRALDEHYDE"," ACRYLIC ALDEHYDE"," ALLYL ALDEHYDE"," PROPENAL"," 2-PROPENAL"," ACRYLALDEHYDE"," 2-PROPEN-1-ONE"," PROP-2-ENAL",,,,,,,,,,,
" 79-06-1"," ACRYLAMIDE",,,,,,,=T("172.255"),=T("173.5"),=T("173.10"),=T("175.105"),=T("175.300"),=T("175.320"),=T("176.110"),=T("176.170"),=T("176.180"),=T("177.1010"),=T("178.3520"),,,,,,,,,,,,," ACRYLAMIDE"," PROPENAMIDE"," 2-PROPENAMIDE"," VINYL AMIDE"," ACRYLIC AMIDE"," ETHYLENECARBOXAMIDE"," InChI=1/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)"," InChIKey: HRPVXLWXLXDGHG-UHFFFAOYSA-N",,,,,,,,,,,,
" 9003-06-9"," ACRYLAMIDE-ACRYLIC ACID RESIN",,,,,,,=T("173.5"),=T("175.105"),=T("176.110"),=T("176.180"),,,,,,,,,,,,,,,,,,,," POLY(ACRYLAMIDE-CO-ACRYLIC ACID)"," ACRYLAMIDE-ACRYLIC ACID COPOLYMER"," ACRYLAMIDE-ACRYLIC ACID POLYMER"," ACRYLAMIDE-ACRYLIC ACID RESIN"," ACRYLIC ACID, POLYMER WITH ACRYLAMIDE"," HYDROLYZED POLYACRYLAMIDE"," POLYACRYLAMIDE, HYDROLYZED"," POLYACRYLAMIDE, PARTIALLY HYDROLYZED"," POLY(2-PROPENAMIDE-CO-2-PROPENOIC ACID)"," 2-PROPENOIC ACID, POLYMER WITH 2-PROPENAMIDE"," 2-PROPENAMIDE-2-PROPENOIC ACID POLYMER"," 2-PROPENAMIDE, POLYMER WITH 2-PROPENOIC ACID",,,,,,,,
