_inventory,_substance,_other_names,_use,_cas,CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
food_substances,ACAI BERRY EXTRACT,"&diams; ACAI BERRY EXTRACT; &diams; euterpe oleracea, ext.",FLAVORING AGENT OR ADJUVANT,879496-95-4,879496-95-4,ACAI BERRY EXTRACT,"&diams; ACAI BERRY EXTRACT; &diams; euterpe oleracea, ext.",FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4547,24,,,
food_substances,ACESULFAME POTASSIUM,"&diams; POTASSIUM ACESULFAME; &diams; ACESULFAME K; &diams; POTASSIUM 6-METHYL-1,2,3-OXATHIAZIN-4(3H)-ONE 2,2-DIOXIDE; &diams; ACESULFAME POTASSIUM; &diams; 1,2,3-OXATHIAZIN-4(3H)-ONE, 6-METHYL-, 2,2-DIOXIDE, POTASSIUM SALT; &diams; ACESULFAME-K; &diams; ACESULFAM-K",NON-NUTRITIVE SWEETENER,55589-62-3,55589-62-3,ACESULFAME POTASSIUM,"&diams; POTASSIUM ACESULFAME; &diams; ACESULFAME K; &diams; POTASSIUM 6-METHYL-1,2,3-OXATHIAZIN-4(3H)-ONE 2,2-DIOXIDE; &diams; ACESULFAME POTASSIUM; &diams; 1,2,3-OXATHIAZIN-4(3H)-ONE, 6-METHYL-, 2,2-DIOXIDE, POTASSIUM SALT; &diams; ACESULFAME-K; &diams; ACESULFAM-K",NON-NUTRITIVE SWEETENER,,,,,,,172.800,,,,,,,,,,,,,,,,,,,,,,,,,,
food_substances,ACETAL,"&diams; ACETAL; &diams; 1,1-DIETHOXYETHANE; &diams; DIETHYL ACETAL ACETALDEHYDE; &diams; ACETALDEHYDE DIETHYL ACETAL; &diams; ETHYLIDENE DIETHYL ETHER; &diams; ETHANE, 1,1-DIETHOXY-; &diams; ACETALDEHYDE, DIETHYL ACETAL","FLAVOR ENHANCER,; FLAVORING AGENT OR ADJUVANT",105-57-7,105-57-7,ACETAL,"&diams; ACETAL; &diams; 1,1-DIETHOXYETHANE; &diams; DIETHYL ACETAL ACETALDEHYDE; &diams; ACETALDEHYDE DIETHYL ACETAL; &diams; ETHYLIDENE DIETHYL ETHER; &diams; ETHANE, 1,1-DIETHOXY-; &diams; ACETALDEHYDE, DIETHYL ACETAL","FLAVOR ENHANCER,; FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2002,3,,,941
food_substances,ACETALDEHYDE,&diams; ACETALDEHYDE; &diams; ACETIC ALDEHYDE; &diams; ETHANAL; &diams; ACETIC ETHANOL; &diams; ETHYL ALDEHYDE,FLAVORING AGENT OR ADJUVANT,75-07-0,75-07-0,ACETALDEHYDE,&diams; ACETALDEHYDE; &diams; ACETIC ALDEHYDE; &diams; ETHANAL; &diams; ACETIC ETHANOL; &diams; ETHYL ALDEHYDE,FLAVORING AGENT OR ADJUVANT,,,,,,,177.2410,182.60,,,,,,,,,,,,,,,,,,,,,2003,3,25,,80
food_substances,"ACETALDEHYDE, BUTYL PHENETHYL ACETAL","&diams; ACETALDEHYDE BUTYL PHENETHYL ACETAL; &diams; BENZENE, (2-(1-BUTOXYETHOXY)ETHYL)-; &diams; (2-(1-BUTOXYETHOXY)ETHYL)BENZENE; &diams; 2-BUTOXY-2-PHENYLETHOXYETHANE",FLAVORING AGENT OR ADJUVANT,64577-91-9,64577-91-9,"ACETALDEHYDE, BUTYL PHENETHYL ACETAL","&diams; ACETALDEHYDE BUTYL PHENETHYL ACETAL; &diams; BENZENE, (2-(1-BUTOXYETHOXY)ETHYL)-; &diams; (2-(1-BUTOXYETHOXY)ETHYL)BENZENE; &diams; 2-BUTOXY-2-PHENYLETHOXYETHANE",FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3125,4,,,1001
food_substances,ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL,"&diams; ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL; &diams; 3-hexene, 1,1'-(ethylidenebis(oxy))bis-, (3Z,3'Z)-; &diams; 1,1'-(ethylidenebis(oxy))bis(3-hexene), (3Z,3'Z)-; &diams; 1,1'-(ethylidenebis(oxy))bis(3-hexene), (Z,Z)-; &diams; InChI=1S/C14H26O2/c1-4-6-8-10-12-15-14(3)16-13-11-9-7-5-2/h6-9,14H,4-5,10-13H2,1-3H3/b8-6-,9-7-; &diams; InChIKey: KCPFRJBAXWUXIG-VRHVFUOLSA-N",FLAVORING AGENT OR ADJUVANT,63449-64-9,63449-64-9,ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL,"&diams; ACETALDEHYDE DI-CIS-3-HEXENYL ACETAL; &diams; 3-hexene, 1,1'-(ethylidenebis(oxy))bis-, (3Z,3'Z)-; &diams; 1,1'-(ethylidenebis(oxy))bis(3-hexene), (3Z,3'Z)-; &diams; 1,1'-(ethylidenebis(oxy))bis(3-hexene), (Z,Z)-; &diams; InChI=1S/C14H26O2/c1-4-6-8-10-12-15-14(3)16-13-11-9-7-5-2/h6-9,14H,4-5,10-13H2,1-3H3/b8-6-,9-7-; &diams; InChIKey: KCPFRJBAXWUXIG-VRHVFUOLSA-N",FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4381,23,,,1747
food_substances,ACETALDEHYDE DIISOAMYL ACETAL,"&diams; ACETALDEHYDE DIISOAMYL ACETAL; &diams; butane, 1,1'-(ethylidenebis(oxy))bis(3-methyl-; &diams; acetaldehyde, diisopentyl acetal; &diams; 1,1-bis(isopentyloxy)ethane; &diams; 3-methyl-1-(1-(3-methylbutoxy)ethoxy)butane",FLAVORING AGENT OR ADJUVANT,13002-09-0,13002-09-0,ACETALDEHYDE DIISOAMYL ACETAL,"&diams; ACETALDEHYDE DIISOAMYL ACETAL; &diams; butane, 1,1'-(ethylidenebis(oxy))bis(3-methyl-; &diams; acetaldehyde, diisopentyl acetal; &diams; 1,1-bis(isopentyloxy)ethane; &diams; 3-methyl-1-(1-(3-methylbutoxy)ethoxy)butane",FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024,21,,,1729
food_substances,ACETALDEHYDE DI-ISOBUTYLACETAL,"&diams; ACETALDEHYDE DI-ISOBUTYLACETAL; &diams; propane,1,1'-(ethylidenebis(oxy))bis(2-methyl-; &diams; 1,1'-(ethylidenebis(oxy))bis(2-methylpropane); &diams; acetaldehyde, diisobutyl acetal; &diams; ethane,1,1-diisobutoxy-; &diams; 1,1-diisobutoxyethane; &diams; InChI=1S/C10H22O2/c1-8(2)6-11-10(5)12-7-9(3)4/h8-10H,6-7H2,1-5H3; &diams; InChIKey: KIELJSVPUISYCI-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT,5669-09-0,5669-09-0,ACETALDEHYDE DI-ISOBUTYLACETAL,"&diams; ACETALDEHYDE DI-ISOBUTYLACETAL; &diams; propane,1,1'-(ethylidenebis(oxy))bis(2-methyl-; &diams; 1,1'-(ethylidenebis(oxy))bis(2-methylpropane); &diams; acetaldehyde, diisobutyl acetal; &diams; ethane,1,1-diisobutoxy-; &diams; 1,1-diisobutoxyethane; &diams; InChI=1S/C10H22O2/c1-8(2)6-11-10(5)12-7-9(3)4/h8-10H,6-7H2,1-5H3; &diams; InChIKey: KIELJSVPUISYCI-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4527,24,,,
food_substances,ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL,"&diams; ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL; &diams; ACETALDEHYDE, ETHYL 3-HEXENYL ACETAL, (Z)-; &diams; ETHYL CIS-3-HEXENYL ACETAL; &diams; ETHANE, 1-ETHOXY-1-(3-HEXENYLOXY)-, (Z)-; &diams; 3-HEXENE, 1-(1-ETHOXYETHOXY)-, (Z)-; &diams; 1-(1-ETHOXYETHOXY)-3-HEXENE, (Z)-; &diams; 1-ETHOXY-1-(3-HEXENYLOXY)ETHANE, (Z)-",FLAVORING AGENT OR ADJUVANT,28069-74-1,28069-74-1,ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL,"&diams; ACETALDEHYDE ETHYL CIS-3-HEXENYL ACETAL; &diams; ACETALDEHYDE, ETHYL 3-HEXENYL ACETAL, (Z)-; &diams; ETHYL CIS-3-HEXENYL ACETAL; &diams; ETHANE, 1-ETHOXY-1-(3-HEXENYLOXY)-, (Z)-; &diams; 3-HEXENE, 1-(1-ETHOXYETHOXY)-, (Z)-; &diams; 1-(1-ETHOXYETHOXY)-3-HEXENE, (Z)-; &diams; 1-ETHOXY-1-(3-HEXENYLOXY)ETHANE, (Z)-",FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3775,16,,,943
food_substances,ACETALDEHYDE ETHYL ISOBUTYL ACETAL,"&diams; ACETALDEHYDE ETHYL ISOBUTYL ACETAL; &diams; propane, 1-(1-ethoxyethoxy)-2-methyl-; &diams; 1-(1-ethoxyethoxy)-2-methylpropane; &diams; acetaldehyde, ethyl isobutyl acetal; &diams; ethane, 1-ethoxy-1-isobutoxy-; &diams; 1-ethoxy-1-isobutoxyethane; &diams; InChI=1S/C8H18O2/c1-5-9-8(4)10-6-7(2)3/h7-8H,5-6H2,1-4H3; &diams; InChIKey: YEKSEJHZJGHKBN-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT,6986-51-2,6986-51-2,ACETALDEHYDE ETHYL ISOBUTYL ACETAL,"&diams; ACETALDEHYDE ETHYL ISOBUTYL ACETAL; &diams; propane, 1-(1-ethoxyethoxy)-2-methyl-; &diams; 1-(1-ethoxyethoxy)-2-methylpropane; &diams; acetaldehyde, ethyl isobutyl acetal; &diams; ethane, 1-ethoxy-1-isobutoxy-; &diams; 1-ethoxy-1-isobutoxyethane; &diams; InChI=1S/C8H18O2/c1-5-9-8(4)10-6-7(2)3/h7-8H,5-6H2,1-4H3; &diams; InChIKey: YEKSEJHZJGHKBN-UHFFFAOYSA-N",FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4528,24,,,
