_inventory,_substance,_other_names,_use,_cas,CAS Registry No. (or other ID),Substance,Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg01,Reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17,reg18,reg19,reg20,reg21,Reg prohibited189,regs Labeling-Standards,Other Names,SYN01,SYN02,SYN03,SYN04,SYN05,SYN06,SYN07,SYN08,SYN09,SYN10,SYN11,SYN12,SYN13,SYN14,SYN15,SYN16,SYN17,SYN18,SYN19
indirect_additives,ABIETIC ACID,ABIETIC ACID,,514-10-3,514-10-3,ABIETIC ACID,,,,,,,175.105,,,,,,,,,,,,,,,,,,,,,,,ABIETIC ACID,"ABIETIC ACID, L-","7,13-ABIETADIEN-18-OIC ACID","1,2,3,4,4A,4B,5,6,10,10A-DECAHYDRO-1,4A-DIMETHYL-7-(1-METHYLETHYL)-1-PHENANTHRENECARBOXYLIC ACID, (1R,4AR,4BR,10AR)-","1-PHENANTHRENECARBOXYLIC ACID, 1,2,3,4,4A,4B,5,6,10,10A-DECAHYDRO-1,4A-DIMETHYL-7-(1-METHYLETHYL)-, (1R,4AR,4BR,10AR)-","PODOCARPA-7,13-DIEN-15-OIC ACID, 13-ISOPROPYL-","13-ISOPROPYLPODOCARPA-7,13-DIEN-15-OIC ACID",SYLVIC ACID,"ABIETIC ACID, (-)-",,,,,,,,,,,
indirect_additives,ACETALDEHYDE,ACETALDEHYDE,,75-07-0,75-07-0,ACETALDEHYDE,,,,,,,177.2410,182.60,,,,,,,,,,,,,,,,,,,,,,ACETALDEHYDE,ACETIC ALDEHYDE,ETHANAL,ACETIC ETHANOL,ETHYL ALDEHYDE,,,,,,,,,,,,,,,
indirect_additives,2-ACETAMIDOETHANOL,2-ACETAMIDOETHANOL,,142-26-7,142-26-7,2-ACETAMIDOETHANOL,,,,,,,175.105,,,,,,,,,,,,,,,,,,,,,,,2-ACETAMIDOETHANOL,N-(2-HYDROXYETHYL)ACETAMIDE,N-ACETYLETHANOLAMINE,ACETYLETHANOLAMINE,"ACETAMIDE, N-(2-HYDROXYETHYL)-",,,,,,,,,,,,,,,
indirect_additives,ACETONE,ACETONE,,67-64-1,67-64-1,ACETONE,73.1,73.30,73.345,73.615,,,173.210,175.105,175.320,176.180,176.300,177.2600,,,,,,,,,,,,,,,,,,ACETONE,DIMETHYL KETONE,BETA-KETOPROPANE,PYROACETIC ETHER,2-OXOPROPANE,2-PROPANONE,METHYL KETONE,DIMETHYLFORMALDEHYDE,,,,,,,,,,,,
indirect_additives,ACETOXYHYDROXYSTEARIC ACID,ACETOXYHYDROXYSTEARIC ACID,,977110-24-9,977110-24-9,ACETOXYHYDROXYSTEARIC ACID,,,,,,,178.3400,,,,,,,,,,,,,,,,,,,,,,,ACETOXYHYDROXYSTEARIC ACID,(ACETYLOXY)HYDROXYOCTADECANOIC ACID,,,,,,,,,,,,,,,,,,
indirect_additives,N-ACETYL-N-(2-HYDROXYETHYL)-N'-OLEOYLETHYLENEDIAMINE,N-ACETYL-N-(2-HYDROXYETHYL)-N'-OLEOYLETHYLENEDIAMINE,,101229-03-2,101229-03-2,N-ACETYL-N-(2-HYDROXYETHYL)-N'-OLEOYLETHYLENEDIAMINE,,,,,,,177.2800,,,,,,,,,,,,,,,,,,,,,,,N-ACETYL-N-(2-HYDROXYETHYL)-N'-OLEOYLETHYLENEDIAMINE,N-OLEYL-N'-ACETYL-N'-(BETA-HYDROXYETHYL)ETHYLENEDIAMINE,"OLEAMIDE, N-(2-(N-(2-HYDROXYETHYL)ACETAMIDO)ETHYL)-",N-(2-(N-(2-HYDROXYETHYL)ACETAMIDO)ETHYL)OLEAMIDE,,,,,,,,,,,,,,,,
indirect_additives,ACETYL TRIETHYL CITRATE,ACETYL TRIETHYL CITRATE,,77-89-4,77-89-4,ACETYL TRIETHYL CITRATE,,,,,,,175.105,175.300,175.320,178.3910,181.27,,,,,,,,,,,,,,,,,,,ACETYL TRIETHYL CITRATE,"CITRIC ACID, TRIETHYL ESTER, ACETATE","TRIETHYL 2-(ACETYLOXY)-1,2,3-PROPANETRICARBOXYLATE",TRIETHYL CITRATE ACETATE,"TRIETHYL 2-ACETOXY-1,2,3-PROPANETRICARBOXYLATE",TRIETHYL ACETYLCITRATE,"1,2,3-PROPANETRICARBOXYLIC ACID, 2-(ACETYLOXY)-, TRIETHYL ESTER",,,,,,,,,,,,,
indirect_additives,"ACID-CATALYZED CONDENSATION REACTION PRODUCTS OF BRANCHED 4-NONYLPHENOL, FORMALDEHYDE AND 1-DODECANETHIOL",1-DODECANETHIOL-FORMALDEHYDE-BRANCHED 4-NONYLPHENOL REACTION PRODUCT,,203742-97-6,203742-97-6,"ACID-CATALYZED CONDENSATION REACTION PRODUCTS OF BRANCHED 4-NONYLPHENOL, FORMALDEHYDE AND 1-DODECANETHIOL",,,,,,,178.2010,,,,,,,,,,,,,,,,,,,,,,,1-DODECANETHIOL-FORMALDEHYDE-BRANCHED 4-NONYLPHENOL REACTION PRODUCT,"FORMALDEHYDE, REACTION PRODUCTS WITH BRANCHED 4-NONYLPHENOL AND 1-DODECANETHIOL","4-NONYLPHENOL, BRANCHED-FORMALDEHYDE-1-DODECANETHIOL REACTION PRODUCT",,,,,,,,,,,,,,,,,
indirect_additives,ACROLEIN,ACROLEIN,,107-02-8,107-02-8,ACROLEIN,,,,,,,172.892,176.300,,,,,,,,,,,,,,,,,,,,,,ACROLEIN,ACRALDEHYDE,ACRYLIC ALDEHYDE,ALLYL ALDEHYDE,PROPENAL,2-PROPENAL,ACRYLALDEHYDE,2-PROPEN-1-ONE,PROP-2-ENAL,,,,,,,,,,,
indirect_additives,ACRYLAMIDE,ACRYLAMIDE,,79-06-1,79-06-1,ACRYLAMIDE,,,,,,,172.255,173.5,173.10,175.105,175.300,175.320,176.110,176.170,176.180,177.1010,178.3520,,,,,,,,,,,,,ACRYLAMIDE,PROPENAMIDE,2-PROPENAMIDE,VINYL AMIDE,ACRYLIC AMIDE,ETHYLENECARBOXAMIDE,"InChI=1/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)",InChIKey: HRPVXLWXLXDGHG-UHFFFAOYSA-N,,,,,,,,,,,,
