inventory,substance,cas,use,matched_nutrient_id,pack,score,alt_matches
food_substances,ACESULFAME POTASSIUM,55589-62-3,NON-NUTRITIVE SWEETENER,potassium,A,80,
food_substances,ACETALDEHYDE,75-07-0,FLAVORING AGENT OR ADJUVANT,ethanol,B,80,
food_substances,N-ACETYL-L-METHIONINE,65-82-7,NUTRIENT SUPPLEMENT,methionine,A,90,
food_substances,ACRYLAMIDE-SODIUM ACRYLATE RESIN,25085-02-3,BOILER WATER ADDITIVE,sodium,A,80,
food_substances,ADVANTAME,714229-20-6,NON-NUTRITIVE SWEETENER,phenylalanine,A,90,
food_substances,BETA-ALANINE,107-95-9,"FLAVOR ENHANCER,; FLAVORING AGENT OR ADJUVANT,; NUTRIENT SUPPLEMENT",alanine,A,80,
food_substances,DL-ALANINE,302-72-7,FLAVORING AGENT OR ADJUVANT,alanine,A,80,
food_substances,L-ALANINE,56-41-7,NUTRIENT SUPPLEMENT,alanine,A,80,
food_substances,"ALGINATE, SODIUM CALCIUM",12698-40-7,"EMULSIFIER OR EMULSIFIER SALT,; FIRMING AGENT,; FLAVOR ENHANCER,; FORMULATION AID,; PROCESSING AID,; STABILIZER OR THICKENER,; SURFACE-ACTIVE AGENT,; TEXTURIZER",alginate,B,80,calcium(80);sodium(80)
food_substances,S-ALLYL-L-CYSTEINE,21593-77-1,FLAVORING AGENT OR ADJUVANT,alanine,A,80,
food_substances,ALPHA-TOCOPHEROL ACID SUCCINATE,4345-03-3,NUTRIENT SUPPLEMENT,vitamin_e,A,100,
food_substances,ALUMINUM NICOTINATE,1976-28-9,NUTRIENT SUPPLEMENT,vitamin_b3,A,100,
food_substances,DL-(3-AMINO-3-CARBOXYPROPYL)DIMETHYLSULFONIUM CHLORIDE,3493-12-7,FLAVORING AGENT OR ADJUVANT,methionine,A,90,chloride(80)
food_substances,"AMINO TRI(METHYLENE PHOSPHONIC ACID), SODIUM SALT",20592-85-2,,sodium,A,80,
food_substances,AMMONIA (ALSO INCLUDES AMMONIUM CHLORIDE),977188-02-5,FLAVORING AGENT OR ADJUVANT,chloride,A,80,
food_substances,AMMONIUM PECTINATE,83046-90-6,,pectin,B,100,
food_substances,L-ARABINOSE,5328-37-0,"FLAVOR ENHANCER,; FLAVORING AGENT OR ADJUVANT",pectin,B,100,
food_substances,L-ARGININE,74-79-3,NUTRIENT SUPPLEMENT,arginine,A,80,
food_substances,ASCORBYL STEARATE,25395-66-8,ANTIOXIDANT,vitamin_c,A,100,
food_substances,ASPARTAME,22839-47-0,"FLAVOR ENHANCER,; NON-NUTRITIVE SWEETENER",phenylalanine,A,90,
food_substances,L-ASPARTIC ACID,56-84-8,"FLAVOR ENHANCER,; FLAVORING AGENT OR ADJUVANT,; NUTRIENT SUPPLEMENT",aspartic_acid,A,90,
food_substances,ASTAXANTHIN,472-61-7,COLOR OR COLORING ADJUNCT,vitamin_a,A,100,astaxanthin(90)
food_substances,BETAINE,107-43-7,FLAVORING AGENT OR ADJUVANT,betaine,A,100,glycine(80)
food_substances,CALCIUM ASCORBATE,5743-27-1,ANTIOXIDANT,vitamin_c,A,100,calcium(80)
food_substances,CALCIUM BENZOATE,2090-05-3,ANTIMICROBIAL AGENT,calcium,A,80,
food_substances,CALCIUM BROMATE,10102-75-7,"DOUGH STRENGTHENER,; LEAVENING AGENT",calcium,A,80,
food_substances,CALCIUM CAPRATE,13747-30-3,"ANTICAKING AGENT OR FREE-FLOW AGENT,; EMULSIFIER OR EMULSIFIER SALT,; LUBRICANT OR RELEASE AGENT",calcium,A,80,
food_substances,CALCIUM CAPRYLATE,6107-56-8,"ANTICAKING AGENT OR FREE-FLOW AGENT,; EMULSIFIER OR EMULSIFIER SALT,; LUBRICANT OR RELEASE AGENT",calcium,A,80,
food_substances,CALCIUM CYCLAMATE--PROHIBITED,5897-16-5,NON-NUTRITIVE SWEETENER,calcium,A,80,
food_substances,CALCIUM DIGLUTAMATE,5996-22-5,,glutamic_acid,A,90,calcium(80)
food_substances,CALCIUM FUMARATE,7718-51-6,NUTRIENT SUPPLEMENT,calcium,A,80,
food_substances,CALCIUM LACTOBIONATE,5001-51-4,FIRMING AGENT,calcium,A,80,
food_substances,CALCIUM LAURATE,4696-56-4,"ANTICAKING AGENT OR FREE-FLOW AGENT,; EMULSIFIER OR EMULSIFIER SALT,; LUBRICANT OR RELEASE AGENT",calcium,A,80,
food_substances,CALCIUM LIGNOSULFONATE,8061-52-7,SURFACE-ACTIVE AGENT,calcium,A,80,
food_substances,CALCIUM MYRISTATE,15284-51-2,"ANTICAKING AGENT OR FREE-FLOW AGENT,; EMULSIFIER OR EMULSIFIER SALT,; LUBRICANT OR RELEASE AGENT",calcium,A,80,
food_substances,CALCIUM OLEATE,142-17-6,STABILIZER OR THICKENER,calcium,A,80,
food_substances,CALCIUM PALMITATE,542-42-7,"ANTICAKING AGENT OR FREE-FLOW AGENT,; EMULSIFIER OR EMULSIFIER SALT,; LUBRICANT OR RELEASE AGENT",calcium,A,80,
food_substances,"CALCIUM PANTOTHENATE, CALCIUM CHLORIDE DOUBLE SALT",6363-38-8,NUTRIENT SUPPLEMENT,vitamin_b5,A,100,alanine(80);calcium(80);chloride(80)
food_substances,CALCIUM PEROXIDE,1305-79-9,"DOUGH STRENGTHENER,; FLOUR TREATING AGENT,; OXIDIZING OR REDUCING AGENT,; SEQUESTRANT",calcium,A,80,
food_substances,CALCIUM SALTS OF FATTY ACIDS,977089-53-4,"ANTICAKING AGENT OR FREE-FLOW AGENT,; EMULSIFIER OR EMULSIFIER SALT,; LUBRICANT OR RELEASE AGENT",calcium,A,80,
food_substances,CALCIUM STEAROYL-2-LACTYLATE,5793-94-2,"DOUGH STRENGTHENER,; EMULSIFIER OR EMULSIFIER SALT,; STABILIZER OR THICKENER,; SURFACE-ACTIVE AGENT,; TEXTURIZER",calcium,A,80,
food_substances,CAMPHOLENE ACETATE,1727-68-0,FLAVORING AGENT OR ADJUVANT,ethanol,B,80,
food_substances,ALPHA-CAMPHOLENIC ALCOHOL,1901-38-8,FLAVORING AGENT OR ADJUVANT,ethanol,B,80,
