vmh	name	formula	inchiKey	hmdb	kegg	chebi	pubchem	seed	modeled_pathway	term_id	systems
10fthf5glu	10-Formyltetrahydrofolate-[Glu](5)	C40H45N11O19	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN
10fthf6glu	10-Formyltetrahydrofolate-[Glu](6)	C45H51N12O22	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN
10fthf7glu	10-Formyltetrahydrofolate-[Glu](7)	C50H57N13O25	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN
10fthf	10-Formyltetrahydrofolate	C20H21N7O7	OPEN	OPEN	kegg:C00234	chebi:15637	pubchem:122347	OPEN	OPEN	OPEN	OPEN
11docrtsl	11-Deoxycortisol	C21H30O4	OPEN	hmdb:HMDB0000015	kegg:C05488	chebi:28324	pubchem:53477676	OPEN	OPEN	OPEN	OPEN
11docrtstrn	11-Deoxycorticosterone	C21H30O3	OPEN	OPEN	kegg:C03205	chebi:16973	pubchem:6166	OPEN	OPEN	OPEN	OPEN
13dampp	Trimethylenediaminium	C3H12N2	OPEN	hmdb:HMDB0000002	kegg:C00986	chebi:15725	pubchem:428	OPEN	OPEN	OPEN	OPEN
h2o	Water	H2O	OPEN	hmdb:HMDB0002111	kegg:C00001	chebi:15377	pubchem:962	cpd00001	etc_oxphos	term.water	Assimilation
o2	Oxygen	O2	OPEN	hmdb:HMDB0001377	kegg:C00007	chebi:15379	pubchem:977	cpd00007	etc_oxphos	term.oxygen	OPEN
bamppald	Beta-Aminopropion Aldehyde	C3H8NO	OPEN	OPEN	kegg:C05665	chebi:58374	pubchem:75	OPEN	OPEN	OPEN	OPEN
h2o2	Hydrogen Peroxide	H2O2	OPEN	hmdb:HMDB0003125	kegg:C00027	chebi:16240	pubchem:784	OPEN	OPEN	OPEN	OPEN
nh4	Ammonium	H4N	OPEN	hmdb:HMDB0000051	kegg:C00014	chebi:16134	pubchem:222	cpd00013	aa_nitrogen_disposal	OPEN	OPEN
2425dhvitd2	24R,25-Dihyoxyvitamin D2	C28H44O3	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN
h	Proton	H	OPEN	OPEN	kegg:C00080	chebi:24636	pubchem:1038	cpd00067	OPEN	OPEN	OPEN
