vmh	column	canonical_value	external_value	mnx	source
12ppd_R	chebi	chebi:16997	chebi:28972	MNXM1364596	ChEBI
12ppd_R	kegg	kegg:C00583	kegg:C02912	MNXM1364596	KEGG
13_cis_retn	kegg	kegg:D00348	kegg:C07058	MNXM58377	KEGG
1p3h5c	chebi	chebi:6151	chebi:37005	MNXM31144	ChEBI
2dr5p	chebi	chebi:16132	chebi:55513;chebi:62877	MNXM732594	ChEBI
2hb	chebi	chebi:1148	chebi:50613;chebi:73709	MNXM1363881	ChEBI
2mcit	chebi	chebi:30835	chebi:50948;chebi:58853	MNXM1108544	ChEBI
3hibutcoa	chebi	chebi:15481	chebi:28259;chebi:62611	MNXM1364136	ChEBI
3hibutcoa	kegg	kegg:C04047	kegg:C06000	MNXM1364136	KEGG
3mlda	chebi	chebi:8122	chebi:132918;chebi:1606	MNXM91418	ChEBI
3mop	chebi	chebi:35932	chebi:15614;chebi:35146	MNXM1363845	ChEBI
3mop	kegg	kegg:C03465	kegg:C00671	MNXM1363845	KEGG
3moxtyr	chebi	chebi:742324	chebi:1582;chebi:192089	MNXM3848	ChEBI
3ohodcoa	chebi	chebi:50571	chebi:15541;chebi:57394	MNXM1104352	ChEBI
3ohodcoa	hmdb	hmdb:HMDB0006498	hmdb:HMDB0001114	MNXM1104352	HMDB
3ohodcoa	kegg	kegg:C16216	kegg:C00412	MNXM1104352	KEGG
5fthf	chebi	chebi:209153	chebi:15640;chebi:57457;chebi:63606;chebi:65340	MNXM1091982	ChEBI
5htrp	chebi	chebi:28171	chebi:17780;chebi:58266	MNXM730546	ChEBI
5htrp	kegg	kegg:C01017	kegg:C00643	MNXM730546	KEGG
6hoxmelatn	chebi	chebi:308079	chebi:2198	MNXM730977	ChEBI
C02470	chebi	chebi:217069	chebi:10072;chebi:71201	MNXM5989	ChEBI
C02712	chebi	chebi:165927	chebi:132957;chebi:132958;chebi:21557;chebi:71670	MNXM731431	ChEBI
C04805	chebi	chebi:28209	chebi:165284	MNXM488526	ChEBI
C05279	hmdb	hmdb:HMDB0011123	hmdb:HMDB0062630	MNXM1104257	HMDB
C07297	chebi	chebi:28542	chebi:15371;chebi:57291	MNXM726584	ChEBI
C09642	chebi	chebi:123715	chebi:113	MNXM9366	ChEBI
C09642	hmdb	hmdb:HMDB0005199	hmdb:HMDB0042012	MNXM9366	HMDB
CE0074	chebi	chebi:730073	chebi:76451	MNXM15828	ChEBI
CE2172	chebi	chebi:110006	chebi:173739;chebi:194093	MNXM64956	ChEBI
CE4970	chebi	chebi:240943	chebi:86366	MNXM35282	ChEBI
CE5072	chebi	chebi:805752	chebi:34461	MNXM730973	ChEBI
CE5126	chebi	chebi:20067	chebi:77275;chebi:77550	MNXM734781	ChEBI
CE6205	chebi	chebi:114833	chebi:89851	MNXM14897	ChEBI
HC00617	chebi	chebi:18097	chebi:166902;chebi:18357;chebi:33569;chebi:72587	MNXM31869	ChEBI
HC00617	kegg	kegg:C00996	kegg:C00547	MNXM31869	KEGG
HC02023	chebi	chebi:46898	chebi:46902	MNXM1369623	ChEBI
HC02160	chebi	chebi:51013	chebi:177482	MNXM1371871	ChEBI
HC02187	chebi	chebi:28774	chebi:11684;chebi:57261	MNXM1102093	ChEBI
HC02203	chebi	chebi:27820	chebi:184988	MNXM38302	ChEBI
L2aadp	chebi	chebi:37024	chebi:17082;chebi:37023;chebi:58672	MNXM1368894	ChEBI
L2aadp6sa	chebi	chebi:17027	chebi:17917;chebi:58321	MNXM1364547	ChEBI
L2aadp6sa	kegg	kegg:C01475	kegg:C04076	MNXM1364547	KEGG
Lcyst	chebi	chebi:21260	chebi:17285;chebi:58090	MNXM713	ChEBI
Lcyst	hmdb	hmdb:HMDB0002757	hmdb:HMDB0303991	MNXM713	HMDB
M00341	chebi	chebi:1038735	chebi:80549	MNXM729337	ChEBI
M00606	chebi	chebi:1301	chebi:67237	MNXM90173	ChEBI
M02186	kegg	kegg:G00078	kegg:C15517	MNXM1108052	KEGG
M02457	chebi	chebi:1306412	chebi:72865;chebi:78043	MNXM735122	ChEBI
M02490	kegg	kegg:G04561	kegg:C05924	MNXM1365590	KEGG
M02491	kegg	kegg:G00098	kegg:C05924	MNXM1365590	KEGG
M03131	kegg	kegg:G00100	kegg:C00603	MNXM733673	KEGG
T4hcinnm	chebi	chebi:32373	chebi:12876;chebi:32374	MNXM1370019	ChEBI
Tn_antigen	kegg	kegg:G00023	kegg:C04387	MNXM7559	KEGG
acgal	chebi	chebi:28800	chebi:28037	MNXM1105933	ChEBI
acgal	kegg	kegg:C01074	kegg:C01132	MNXM1105933	KEGG
acgalfucgalacgalfuc12gal14acglcgalgluside_hs	kegg	kegg:G00059	kegg:C18060	MNXM1105799	KEGG
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs	kegg	kegg:G00075	kegg:C18060	MNXM1105799	KEGG
acgalfucgalacglcgalgluside_hs	kegg	kegg:G00042	kegg:C18060	MNXM1105799	KEGG
acglc13galacglcgal14acglcgalgluside_hs	kegg	kegg:G00068	kegg:C00357	MNXM1364174	KEGG
acglu	chebi	chebi:12575	chebi:17533;chebi:21549;chebi:44337	MNXM1370620	ChEBI
acgpail_hs	chebi	chebi:12194	chebi:184369	MNXM741480	ChEBI
acmana	chebi	chebi:17122	chebi:63153	MNXM1105881	ChEBI
acmanap	chebi	chebi:28273	chebi:232428;chebi:62168	MNXM1105998	ChEBI
amuco	chebi	chebi:16886	chebi:189697;chebi:57937;chebi:77859	MNXM1370999	ChEBI
appnn	chebi	chebi:36740	chebi:28261	MNXM1364658	ChEBI
appnn	kegg	kegg:C09880	kegg:C06306	MNXM1364658	KEGG
aprgstrn	chebi	chebi:36729	chebi:28453	MNXM1368190	ChEBI
ascb_L	chebi	chebi:17208	chebi:29073;chebi:38290	MNXM727871	ChEBI
asp_D	hmdb	hmdb:HMDB0000648	hmdb:HMDB0006483	MNXM1364496	HMDB
cgly	seed	cpd15603	cpd01017	MNXM683	ModelSEED
chsterol	chebi	chebi:1307929	chebi:140435;chebi:16113;chebi:172955	MNXM726122	ChEBI
cl	chebi	chebi:29311	chebi:17883;chebi:17996	MNXM735978	ChEBI
clpnd	hmdb	hmdb:HMDB0006528	hmdb:HMDB0304261	MNXM1555884	HMDB
coa	chebi	chebi:1146900	chebi:15346;chebi:57287	MNXM727276	ChEBI
