vmh	column	value	mnx	source	source_version	licence	licence_class
10fthf	inchiKey	AUFGTPPARQZWDO-YPMHNXCESA-L	MNXM1102376	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
10fthf	seed	cpd00201	MNXM1102376	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
11docrtsl	inchiKey	WHBHBVVOGNECLV-OBQKJFGGSA-N	MNXM728289	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
11docrtsl	seed	cpd03268	MNXM728289	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
11docrtstrn	inchiKey	ZESRJSPZRDMNHY-YFWFAHHUSA-N	MNXM730534	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
11docrtstrn	seed	cpd02047	MNXM730534	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
12HPET	inchiKey	ZIOZYRSDNLNNNJ-LQWMCKPYSA-M	MNXM1368929	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
12HPET	seed	cpd03554	MNXM1368929	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
12dgr120	seed	cpd15306	MNXM4939	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
12harachd	chebi	chebi:34146;chebi:90680	MNXM1368131	ChEBI	244	All data non-proprietary or derived from a non-proprietary source; freely accessible and available to anyone	open
12harachd	inchiKey	ZNHVWPKMFKADKW-LQWMCKPYSA-M	MNXM1368131	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
12harachd	seed	cpd10474	MNXM1368131	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
12ppd_R	inchiKey	DNIAPMSPPWPWGF-GSVOUGTGSA-N	MNXM1364596	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
12ppd_R	seed	cpd01861	MNXM1364596	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
12ppd_S	chebi	chebi:29002	MNXM1255	ChEBI	244	All data non-proprietary or derived from a non-proprietary source; freely accessible and available to anyone	open
12ppd_S	inchiKey	DNIAPMSPPWPWGF-VKHMYHEASA-N	MNXM1255	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
12ppd_S	seed	cpd19024	MNXM1255	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
13_cis_oretn	chebi	chebi:193213	MNXM146866	ChEBI	244	All data non-proprietary or derived from a non-proprietary source; freely accessible and available to anyone	open
13_cis_retn	inchiKey	SHGAZHPCJJPHSC-XFYACQKRSA-M	MNXM58377	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
13_cis_retn	seed	cpd23931	MNXM58377	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
13_cis_retnglc	chebi	chebi:139181;chebi:28870	MNXM1363989	ChEBI	244	All data non-proprietary or derived from a non-proprietary source; freely accessible and available to anyone	open
13_cis_retnglc	inchiKey	MTGFYEHKPMOVNE-NEFMKCFNSA-M	MNXM1363989	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
13_cis_retnglc	seed	cpd07945	MNXM1363989	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
13dampp	inchiKey	XFNJVJPLKCPIBV-UHFFFAOYSA-P	MNXM350	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
13dampp	seed	cpd00726	MNXM350	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
13dpg	inchiKey	LJQLQCAXBUHEAZ-UWTATZPHSA-J	MNXM1364464	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
13dpg	seed	cpd00203	MNXM1364464	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
14hmdz	chebi	chebi:145332	MNXM747905	ChEBI	244	All data non-proprietary or derived from a non-proprietary source; freely accessible and available to anyone	open
15HPET	chebi	chebi:15628;chebi:57446	MNXM730447	ChEBI	244	All data non-proprietary or derived from a non-proprietary source; freely accessible and available to anyone	open
15HPET	inchiKey	BFWYTORDSFIVKP-VAEKSGALSA-M	MNXM730447	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
15HPET	seed	cpd03555	MNXM730447	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
15kprostgf2	chebi	chebi:133409;chebi:28442	MNXM1104949	ChEBI	244	All data non-proprietary or derived from a non-proprietary source; freely accessible and available to anyone	open
15kprostgf2	inchiKey	LOLJEILMPWPILA-AMFHKTBMSA-M	MNXM1104949	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
15kprostgf2	seed	cpd03549	MNXM1104949	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
17ahprgnlone	inchiKey	JERGUCIJOXJXHF-TVWVXWENSA-N	MNXM730460	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
17ahprgnlone	seed	cpd03058	MNXM730460	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
17ahprgstrn	inchiKey	DBPWSSGDRRHUNT-CEGNMAFCSA-N	MNXM730450	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
17ahprgstrn	seed	cpd00866	MNXM730450	ModelSEED	2.6.1	CC BY 4.0 (ModelSEED GitHub repository)	open
18harachd	chebi	chebi:63579;chebi:63590;chebi:90790;chebi:91132	MNXM14054	ChEBI	244	All data non-proprietary or derived from a non-proprietary source; freely accessible and available to anyone	open
